started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-12-01 06:48:50.799000+00:00,2023-12-01 06:55:23.678000+00:00,392,607,Marcus Thranes gate,ved Akerselva,59.93277225626508,10.758594919923468,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917
2023-12-01 06:49:13.865000+00:00,2023-12-01 06:56:19.458000+00:00,425,423,Schous plass,nærmest rundkjøringen,59.920335,10.760804,396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982287
2023-12-01 06:50:00.019000+00:00,2023-12-01 07:03:46.519000+00:00,826,970,Enerhaugen,ved Sørligata,59.91320242563816,10.767579386407874,2358,Aker Brygge 3 mot Fergene,ved bryggen,59.91087115068967,10.729828757277915
2023-12-01 06:50:05.197000+00:00,2023-12-01 06:57:31.386000+00:00,446,458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837,551,Olaf Ryes plass,langs Sofienberggata,59.922425,10.758182
2023-12-01 06:50:11.040000+00:00,2023-12-01 07:01:47.969000+00:00,696,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,509,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate,59.912711,10.735595
2023-12-01 06:51:04.696000+00:00,2023-12-01 06:57:02.024000+00:00,357,400,OsloMet,langs Pilestredet,59.919927,10.735428,571,Over Rådhusgata,langs Nedre Slottsgate,59.9101207,10.7407129
2023-12-01 06:51:10.977000+00:00,2023-12-01 07:00:39.418000+00:00,568,464,Sukkerbiten,ved gangbroen,59.905124380703484,10.753763553726515,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455
2023-12-01 06:51:28.182000+00:00,2023-12-01 06:57:25.407000+00:00,357,444,AHO,langs Maridalsveien,59.925265,10.750462,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2023-12-01 06:51:42.129000+00:00,2023-12-01 06:54:43.769000+00:00,181,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095,2328,The Hub,Mellom Oslo City og The Hub hotel,59.912522370233745,10.750910185807754
2023-12-01 06:51:55.341000+00:00,2023-12-01 06:53:25.848000+00:00,90,381,Grønlands torg,ved Tøyenbekken,59.91252,10.76224,574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
2023-12-01 06:52:33.311000+00:00,2023-12-01 07:00:19.895000+00:00,466,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,547,Skippergata,ved Karl Johans gate,59.9112227,10.7481976
2023-12-01 06:53:07.477000+00:00,2023-12-01 07:33:18.300000+00:00,2410,472,Arendalsgata,over veien fra Sagen Kirke,59.9378,10.7541,434,Lindern,krysset ved Kirkeveien og Stensgata,59.9358883,10.7350062
2023-12-01 06:53:30.912000+00:00,2023-12-01 07:02:42.144000+00:00,551,399,Uelands gate,Ved Ulvetrappen (Ilatrappen),59.929545,10.7489862,387,Studenterlunden,langs Karl Johan,59.914586,10.735453
